,breed,type.x,contact_state,State_Full,state,# of non-kill shelters,# of shelters, % big dog friendly rentals, %small dog friendly rentals,% dog owners
148,Bichon Frise,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
149,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
150,Dachshund,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
151,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
152,Miniature Pinscher,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
153,Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
154,Wirehaired Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
155,Cattle Dog,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
156,Cattle Dog,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
157,Mastiff,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
158,Corgi,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
159,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
160,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
161,Belgian Shepherd / Malinois,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
162,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
163,Dachshund,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
164,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
165,Dachshund,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
166,Jack Russell Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
167,Jack Russell Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
168,Labrador Retriever,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
169,Shar-Pei,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
170,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
171,Labrador Retriever,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
172,Dachshund,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
173,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
174,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
175,Beagle,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
176,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
177,Cane Corso,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
178,Shepherd,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
179,Boxer,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
180,Saint Bernard,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
181,Dogo Argentino,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
182,Pit Bull Terrier,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
183,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
184,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
185,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
186,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
187,German Shepherd Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
188,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
189,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
190,Catahoula Leopard Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
191,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
192,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
193,Catahoula Leopard Dog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
194,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
195,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
196,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
197,Doberman Pinscher,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
198,Doberman Pinscher,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
199,Doberman Pinscher,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
200,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
201,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
202,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
203,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
204,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
205,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
206,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
207,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
208,Maltese,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
209,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
210,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
211,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
212,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
213,Jack Russell Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
214,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
215,Yorkshire Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
216,Pomeranian,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
217,Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
218,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
219,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
220,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
221,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
222,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
223,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
224,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
225,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
226,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
227,Collie,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
